sku,images,"m.value) SEPARATOR '|')"""
C-IC4NOV15IN600T,http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN600T_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN600T_001.jpg|http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN600T_02.jpg,
C-IC4NOV15IN225W,http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN225W_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/5/051115C_IC4NOV15IN225W_001.jpg,
C-IC4NOV15IN375G,http://assets8.exclusively.com/media/catalog/product/0/5/051115c_ic4nov15in375g-_4_.jpg|http://assets8.exclusively.com/media/catalog/product/0/5/051115c_ic4nov15in375g_001.jpg,
C-ICL17DEC15N227R,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N227R_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N227R_001.jpg,
C-ICL17DEC15N360M,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N360M_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N360M_001.jpg,
C-ICL17DEC15N223M,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N223M_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N223M_001.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N223M_02.jpg,
C-ICL17DEC15N315M,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N315M_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N315M_001.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N315M_02.jpg,
C-ICL17DEC15N360S,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N360S_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N360S_001.jpg,
C-ICL17DEC15N350S,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N350S_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N350S_001.jpg,
C-ICL17DEC15N350G,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N350G_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N350G_001.jpg,
C-ICL17DEC15N355G,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N355G_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N355G_001.jpg,
C-ICL17DEC15N400M,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N400M_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N400M_001.jpg,
C-ICL17DEC15N800R,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N800R_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N800R_001.jpg,
C-ICL17DEC15N600T,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N600T_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N600T_001.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N600T_02.jpg,
C-ICL17DEC15N500R,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N500R_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N500R_001.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N500R_02.jpg,
C-ICL17DEC15N500M,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N500M_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N500M_001.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N500M_02.jpg,
C-ICL17DEC15N500S,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N500S_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N500S_001.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N500S_02.jpg,
C-ICL17DEC15500SM,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15500SM_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15500SM_001.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15500SM_02.jpg,
C-ICL17DEC15N113W,http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N113W_01.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N113W_001.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N113W_02.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N113W_01_1.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N113W_001_1.jpg|http://assets8.exclusively.com/media/catalog/product/2/1/211215C_ICL17DEC15N113W_02_1.jpg,
M-IC5FEB16NJW325,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJW325_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJW325_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJW325_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJW325_04.jpg,
M-IC5FEB16NJT325,http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJT325_01.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJT325_02.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJT325_03.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJT325_04.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJT325_06.jpg|http://assets8.exclusively.com/media/catalog/product/0/8/080216M_IC5FEB16NJS375_06.jpg,
