store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days,vendor_code,warehouse_code
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8535,0,Turquoise Beaded Layered Bracelet,turquoise-beaded-layered-bracelet-nit8535,"Turquoise, Golden, White",Bracelet,jewelry/fashion/bracelets,8535,25,25 days,Nitin,,899,350,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Turquoise, Golden, White</li><li>Measurements (inches): Free Size</li><li>Material(s): Metal, Beads, Pearls</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Metal, Beads, Pearls",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8538,0,Multicolored Layered Bracelet with Beads,multicolored-layered-bracelet-with-beads-nit8538,Multicolor,Bracelet,jewelry/fashion/bracelets,8538,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8543,0,Boho Multicolored Layered Bracelet with Beads,boho-multicolored-layered-bracelet-with-beads-nit8543,Multicolor,Bracelet,jewelry/fashion/bracelets,8543,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8545,0,Red Beaded Layered Bracelet,red-beaded-layered-bracelet-nit8545,"Red, Golden, Copper",Bracelet,jewelry/fashion/bracelets,8545,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Red, Golden, Copper</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8546,0,Metallic Beaded Layered Bracelet,metallic-beaded-layered-bracelet-nit8546,"Golden, Silver, Copper",Bracelet,jewelry/fashion/bracelets,8546,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Golden, Silver, Copper</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8572,0,Pastel Multicolored Layered Bracelet with Beads,pastel-multicolored-layered-bracelet-with-beads-nit8572,Multicolor,Bracelet,jewelry/fashion/bracelets,8572,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,Beads,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8577,0,Parrot Multicolored Layered Bracelet with Beads,parrot-multicolored-layered-bracelet-with-beads-nit8577,Multicolor,Bracelet,jewelry/fashion/bracelets,8577,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,Beads,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8579,0,"Coral, Turquoise Layered Beaded Bracelet","coral,-turquoise-layered-beaded-bracelet-nit8579","Coral, Turquoise, White",Bracelet,jewelry/fashion/bracelets,8579,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Coral, Turquoise, White</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,Beads,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,63",NIT8584,0,Multicolored Beaded Anklet,multicolored-beaded-anklet-nit8584,Multicolor,Anklet,jewelry/fashion/anklet,8584,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Threads</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Threads",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8587,0,Bloom Multicolored Layered Bracelet with Beads,bloom-multicolored-layered-bracelet-with-beads-nit8587,Multicolor,Bracelet,jewelry/fashion/bracelets,8587,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,Beads,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8634,0,Blue Beaded Layered Bracelet,blue-beaded-layered-bracelet-nit8634,"Blue, Silver, Golden",Bracelet,jewelry/fashion/bracelets,8634,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Blue, Silver, Golden</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,Beads,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8735,0,Starfish Multicolored Layered Bracelet with Beads,starfish-multicolored-layered-bracelet-with-beads-nit8735,Multicolor,Bracelet,jewelry/fashion/bracelets,8735,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8564,0,"Blue, Silver Beaded Layered Bracelet","blue,-silver-beaded-layered-bracelet-nit8564","Blue, Silver",Bracelet,jewelry/fashion/bracelets,8564,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Blue, Silver</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8566,0,Butterfly Turquoise Beaded Layered Bracelet,butterfly-turquoise-beaded-layered-bracelet-nit8566,"Turquoise, Golden",Bracelet,jewelry/fashion/bracelets,8566,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Turquoise, Golden</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8592,0,"Purple, Green Beaded Layered Bracelet","purple,-green-beaded-layered-bracelet-nit8592","Purple, Green, Golden",Bracelet,jewelry/fashion/bracelets,8592,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Purple, Green, Golden</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8594,0,"Olive, Brown Beaded Layered Bracelet","olive,-brown-beaded-layered-bracelet-nit8594","Brown, White, Olive, Blue",Bracelet,jewelry/fashion/bracelets,8594,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Brown, White, Olive, Blue</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8598,0,Butterfly Multicolored Beaded Layered Bracelet,butterfly-multicolored-beaded-layered-bracelet-nit8598,Multicolor,Bracelet,jewelry/fashion/bracelets,8598,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Multicolor</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Jewelry,simple,"15,16,62,3,4,7",NIT8590,0,"Blue, Green Beaded Layered Bracelet","blue,-green-beaded-layered-bracelet-nit8590","Silver, Green, Blue, Purple",Bracelet,jewelry/fashion/bracelets,8590,25,25 days,Nitin,,899,250,2,4,No,Free Size,0,0,1,Non Returnable,"This product is eco-friendly. It is lead and cadmium free and is made using azo-free dyes.<ul><li>Color: Silver, Green, Blue, Purple</li><li>Measurements (inches): Free Size</li><li>Material(s): Beads, Metal</li><li>Care: Clean with a soft, dry cloth. Store in a separate box. Keep away from fragrance and water.</li><li>Weight (GRAMS): NA</li></ul>",Free Size,"Beads, Metal",1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Indiancultr,designers/indiancultr,20,EX000000,EX_FC_VL_DEL_KAP
