store,websites,sku,fitguide,description
"store_us,global_m_sv","app_us,global_m_web",RSRRW015S,size chart 1,"This georgette saree gown showcases crystals at the front, floral crystal motif at the waist with bugle beads and pearls, crystals at the border. It comes with a georgette blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Red</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRRW015M,size chart 1,"This georgette saree gown showcases crystals at the front, floral crystal motif at the waist with bugle beads and pearls, crystals at the border. It comes with a georgette blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Red</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRRW015L,size chart 1,"This georgette saree gown showcases crystals at the front, floral crystal motif at the waist with bugle beads and pearls, crystals at the border. It comes with a georgette blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Red</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRRW015XL,size chart 1,"This georgette saree gown showcases crystals at the front, floral crystal motif at the waist with bugle beads and pearls, crystals at the border. It comes with a georgette blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Red</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRRW015,size chart 1,"This georgette saree gown showcases crystals at the front, floral crystal motif at the waist with bugle beads and pearls, crystals at the border. It comes with a georgette blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Red</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW015XS,size chart 1,"This georgette saree gown is adorned with crystals at the front, floral crystal stone motif at the waist with bugle beads and pearls and crystals at the border. It comes with a blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Black</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW015S,size chart 1,"This georgette saree gown is adorned with crystals at the front, floral crystal stone motif at the waist with bugle beads and pearls and crystals at the border. It comes with a blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Black</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW015M,size chart 1,"This georgette saree gown is adorned with crystals at the front, floral crystal stone motif at the waist with bugle beads and pearls and crystals at the border. It comes with a blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Black</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW015L,size chart 1,"This georgette saree gown is adorned with crystals at the front, floral crystal stone motif at the waist with bugle beads and pearls and crystals at the border. It comes with a blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Black</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW015XL,size chart 1,"This georgette saree gown is adorned with crystals at the front, floral crystal stone motif at the waist with bugle beads and pearls and crystals at the border. It comes with a blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Black</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW015,size chart 1,"This georgette saree gown is adorned with crystals at the front, floral crystal stone motif at the waist with bugle beads and pearls and crystals at the border. It comes with a blouse embellished with pearls and crystals all over. Closure: Hook & eye.<ul><li>Color: Black</li><li>Measurement (inches): Blouse Length - 14"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW045XS,size chart 1,"This shaded georgette saree gown is adorned with brocade panel at the border and crystal chains at the waist. It comes with a velvet blouse showcasing scooped neckline, floral applique work with crystals at the side and dori at the back with beaded tassels. <ul><li>Color: Fuchsia, Magenta </li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Velvet</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW045S,size chart 1,"This shaded georgette saree gown is adorned with brocade panel at the border and crystal chains at the waist. It comes with a velvet blouse showcasing scooped neckline, floral applique work with crystals at the side and dori at the back with beaded tassels. <ul><li>Color: Fuchsia, Magenta </li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Velvet</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW045M,size chart 1,"This shaded georgette saree gown is adorned with brocade panel at the border and crystal chains at the waist. It comes with a velvet blouse showcasing scooped neckline, floral applique work with crystals at the side and dori at the back with beaded tassels. <ul><li>Color: Fuchsia, Magenta </li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Velvet</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW045L,size chart 1,"This shaded georgette saree gown is adorned with brocade panel at the border and crystal chains at the waist. It comes with a velvet blouse showcasing scooped neckline, floral applique work with crystals at the side and dori at the back with beaded tassels. <ul><li>Color: Fuchsia, Magenta </li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Velvet</li><li>Wash Care: Dry Clean Only</li></ul>"
"store_us,global_m_sv","app_us,global_m_web",RSRW045XL,size chart 1,"This shaded georgette saree gown is adorned with brocade panel at the border and crystal chains at the waist. It comes with a velvet blouse showcasing scooped neckline, floral applique work with crystals at the side and dori at the back with beaded tassels. <ul><li>Color: Fuchsia, Magenta </li><li>Measurement (inches): Blouse Length - 13.5"" , Skirt Length - 42"" (standard for all sizes)</li><li>Material: Georgette, Velvet</li><li>Wash Care: Dry Clean Only</li></ul>"
