store,websites,sku,cost,price,description,name
"store_in,india_m_sv","app_in,india_m_web",SUT121006,150,599,"Elegant wall panels in wood and cloth adorned with floral design for stylish homes.<ul><li>Color: Black, Red</li><li>Measurements (inches): H-10’’, W-10’’</li><li>Material(s): Wood, Cloth</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>","Black, Red Floral Wood and Cloth Wall Paintings (Set of 4)"
"store_in,india_m_sv","app_in,india_m_web",SUT121011,150,599,"Elegant wall panels in wood and cloth adorned with floral design for stylish homes.<ul><li>Color: Red, White</li><li>Measurements (inches): H-10’’, W-10’’</li><li>Material(s): Wood, Cloth</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>","Red, White Floral Wood and Cloth Wall Paintings (Set of 4)"
"store_in,india_m_sv","app_in,india_m_web",SUT511011,128,599,"Display your photos or art in style! These lovely wood photo frames feature a beautiful pattern.<ul><li>Color: Black</li><li>Measurements (inches): H-2.5'', W-2''</li><li>Material(s): Wood</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Houten Black Wood Photo Frames (Set of 4)
"store_in,india_m_sv","app_in,india_m_web",SUT511143,216,599,"Display your photos or art in style! These lovely wood photo frames feature a beautiful pattern.<ul><li>Color: White, Pink</li><li>Measurements (inches): H-8.8’’, L-6.8’, ’W-0.5’’</li><li>Material(s): Wood</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>","White, Pink Wood Photo Frame (Set of 2)"
"store_in,india_m_sv","app_in,india_m_web",SUT511133,640,1499,"Light up the corners of your home with these copper, metal hanging candle holders.<ul><li>Color: Copper</li><li>Measurements (inches): H-6.3’’, Dia-2.4’’</li><li>Material(s): Metal, Copper</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>","Copper, Metal Hanging Candle Holders (Set of 8)"
"store_in,india_m_sv","app_in,india_m_web",SUT1031092,700,1599,"Light up the corners of your home with these copper, metal pillar candle holders.<ul><li>Color: Copper</li><li>Measurements (inches): H-6’’, Dia-3’’</li><li>Material(s): Metal, Copper</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>","Copper, Metal Pillar Candle Holders (Set of 8)"
"store_in,india_m_sv","app_in,india_m_web",SUT1031091,650,1499,"Light up the corners of your home with these copper, metal pear candle holders.<ul><li>Color: Copper</li><li>Measurements (inches): H-3.8’', Dia-3.2’’</li><li>Material(s): Metal, Copper</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>","Copper, Metal Pear Candle Holders (Set of 8)"
"store_in,india_m_sv","app_in,india_m_web",SUT511069-511068-511064,405,999,"Horror themed beaded table mats for your Halloween party.<ul><li>Color: Black, White</li><li>Measurements (inches): Dia-15”</li><li>Material(s): Beads</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>","Black, White Beaded Table Mats (Set of 9)"
"store_in,india_m_sv","app_in,india_m_web",SUT511067,120,499,Blood red beaded coasters for your Halloween party.<ul><li>Color: Red</li><li>Measurements (inches): 3.5x3.5</li><li>Material(s): Beads</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>,Red Beaded Coasters (Set of 10)
"store_in,india_m_sv","app_in,india_m_web",SUT511003,102,499,"These classic coasters are made of durable leather to endure daily use.<ul><li>Color: Brown</li><li>Measurements (inches): L-3”, W-3”</li><li>Material(s): Leather</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Brown Leather Coasters (Set of 12)
"store_in,india_m_sv","app_in,india_m_web",SUT511117,424,999,"This two tier steel cake stand with silver finish and wavy design is perfect for a party.<ul><li>Color: Silver</li><li>Measurements (inches): H-11.5’’, Dia-6’’ 8’’</li><li>Material(s): Steel, Silver Finish</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Two Tier Steel Cake Stand (Set of 2)
"store_in,india_m_sv","app_in,india_m_web",SUT1041039,728,1999,"These simple metal tea light holders will suit your home decor and are perfect for special occasions. These versatile pieces can be placed on tables, shelves and countertops.<ul><li>Color: Brown</li><li>Measurements (inches): H- 6”, W- 8”</li><li>Material(s): Metal</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Brown Metal Tea Light Holders (Set of 6)
"store_in,india_m_sv","app_in,india_m_web",SUT511136,808,1999,This classic brown plate made of wood will add elegance to your dining table.<ul><li>Color: Brown</li><li>Measurements (inches): Dia-13''</li><li>Material(s): Wood</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>,Brown Wood Plate (Set of 4)
"store_in,india_m_sv","app_in,india_m_web",SUT511137,808,1999,This classic brown plate made of wood will add elegance to your dining table.<ul><li>Color: Brown</li><li>Measurements (inches): Dia-13''</li><li>Material(s): Wood</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>,Brown Wood Plate (Set of 4)
"store_in,india_m_sv","app_in,india_m_web",SUT511113,496,1199,"This wood bowl with contemporary wave design is hand-carved by a skilled artisan. This handcrafted product may have slight irregularities which add to its unique charm.<ul><li>Color: Brown</li><li>Measurements (inches): H-4’’, Dia-9’’</li><li>Material(s): Wood</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Brown Hand-carved Wood Bowl (Set of 4)
"store_in,india_m_sv","app_in,india_m_web",SUT511112,496,1199,"This wood bowl with contemporary wave design is hand-carved by a skilled artisan. This handcrafted product may have slight irregularities which add to its unique charm.<ul><li>Color: Brown</li><li>Measurements (inches): H-3’’, Dia-7’’</li><li>Material(s): Wood</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Brown Hand-carved Wood Bowl (Set of 4)
"store_in,india_m_sv","app_in,india_m_web",SUT511118,190,499,"These classic napkin rings pair beautifully with our collection of wood bowls and plates.<ul><li>Color: Brown, Black</li><li>Measurements (inches): L-2.25’', H-0.8’’</li><li>Material(s): Wood</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>","Brown, Black Wood Napkin Rings (Set of 8)"
"store_in,india_m_sv","app_in,india_m_web",SUT511104,552,1499,"A must have for kitchen, this classic wood chopping board.<ul><li>Color: Brown</li><li>Measurements (inches): H-9’’, W- 0.6’’, L-4.25’’</li><li>Material(s): Wood</li><li>Care: NA</li><li>Weight (GRAMS): NA</li></ul>",Brown Wood Chopping Board (Set of 2)
