store,websites,attribute_set,type,category_ids,Parent,sku,has_options,name,url_key,product_type_all,product_type_url,fashion_style,color,vendor_sku,vendor,msrp_price,price,cost,shipping_days,shipping_time_filter,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,warehouse_code,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,vendor_code,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2244PIN,SH2244PINS,0,Pink Gota-embroidered Net Jacket with Dupatta & Pants (Set of 3),pink-gota-embroidered-net-jacket-with-dupatta-&-pants-(setof3)-SH2244PIN,Suit Set,clothing/suit sets,Ethnic Wear,Baby Pink,2244,Shivam,,25000,12500,30,4 to 5 Weeks,1,1,No,S,1,1,1,Non Returnable,"Baby pink net jacket with gota handwork. It comes with a net dupatta and satin lycra, net pants.
<ul><li>Color: Baby Pink</li><li>Made to Color Option: Grey</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Jacket & Dupatta: Net, Pants: Satin Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42","Jacket & Dupatta: Net, Pants: Satin Lycra, Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2244PIN,SH2244PINM,0,Pink Gota-embroidered Net Jacket with Dupatta & Pants (Set of 3),pink-gota-embroidered-net-jacket-with-dupatta-&-pants-(setof3)-SH2244PIN,Suit Set,clothing/suit sets,Ethnic Wear,Baby Pink,2244,Shivam,,25000,12500,30,4 to 5 Weeks,1,1,No,M,1,1,1,Non Returnable,"Baby pink net jacket with gota handwork. It comes with a net dupatta and satin lycra, net pants.
<ul><li>Color: Baby Pink</li><li>Made to Color Option: Grey</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Jacket & Dupatta: Net, Pants: Satin Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42","Jacket & Dupatta: Net, Pants: Satin Lycra, Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2244PIN,SH2244PINL,0,Pink Gota-embroidered Net Jacket with Dupatta & Pants (Set of 3),pink-gota-embroidered-net-jacket-with-dupatta-&-pants-(setof3)-SH2244PIN,Suit Set,clothing/suit sets,Ethnic Wear,Baby Pink,2244,Shivam,,25000,12500,30,4 to 5 Weeks,1,1,No,L,1,1,1,Non Returnable,"Baby pink net jacket with gota handwork. It comes with a net dupatta and satin lycra, net pants.
<ul><li>Color: Baby Pink</li><li>Made to Color Option: Grey</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Jacket & Dupatta: Net, Pants: Satin Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42","Jacket & Dupatta: Net, Pants: Satin Lycra, Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2244PIN,SH2244PINXL,0,Pink Gota-embroidered Net Jacket with Dupatta & Pants (Set of 3),pink-gota-embroidered-net-jacket-with-dupatta-&-pants-(setof3)-SH2244PIN,Suit Set,clothing/suit sets,Ethnic Wear,Baby Pink,2244,Shivam,,25000,12500,30,4 to 5 Weeks,1,1,No,XL,1,1,1,Non Returnable,"Baby pink net jacket with gota handwork. It comes with a net dupatta and satin lycra, net pants.
<ul><li>Color: Baby Pink</li><li>Made to Color Option: Grey</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Jacket & Dupatta: Net, Pants: Satin Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42","Jacket & Dupatta: Net, Pants: Satin Lycra, Net",5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,configurable,"15,17,36,19,37",SH2244PIN,SH2244PIN,1,Pink Gota-embroidered Net Jacket with Dupatta & Pants (Set of 3),pink-gota-embroidered-net-jacket-with-dupatta-&-pants-(setof3)-SH2244PIN,Suit Set,clothing/suit sets,Ethnic Wear,Baby Pink,2244,Shivam,,25000,12500,30,4 to 5 Weeks,2,4,No,,1,1,1,Non Returnable,"Baby pink net jacket with gota handwork. It comes with a net dupatta and satin lycra, net pants.
<ul><li>Color: Baby Pink</li><li>Made to Color Option: Grey</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Jacket & Dupatta: Net, Pants: Satin Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42","Jacket & Dupatta: Net, Pants: Satin Lycra, Net",0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,size,"SH2244PINS, SH2244PINM, SH2244PINL, SH2244PINXL",None,Shivam,,EX_FC_VL_DEL_KAP,,field,"Bust/Chest,Hip,Waist,Sleeve Length,Shoulders,Armhole,Neck,Length (Shoulder to Knee),Length (Waist to Ankle)",0,0,,0,"1,2,3,4,5,6,7,8,9",,,,,"SH2244PINS, SH2244PINM, SH2244PINL, SH2244PINXL",item size,"S,M,L,XL",EX000000,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2267GRE,SH2267GRES,0,Green Thread-embroidered Net Anarkali with Dupatta & Lehenga (Set of 3),green-thread-embroidered-net-anarkali-with-dupatta-&-lehenga-(setof3)-SH2267GRE,Suit Set,clothing/suit sets,Ethnic Wear,Bottle Green,2267,Shivam,,27000,13500,30,4 to 5 Weeks,1,1,No,S,1,1,1,Non Returnable,"Bottle green net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Bottle Green</li><li>Made to Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",Net,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2267GRE,SH2267GREM,0,Green Thread-embroidered Net Anarkali with Dupatta & Lehenga (Set of 3),green-thread-embroidered-net-anarkali-with-dupatta-&-lehenga-(setof3)-SH2267GRE,Suit Set,clothing/suit sets,Ethnic Wear,Bottle Green,2267,Shivam,,27000,13500,30,4 to 5 Weeks,1,1,No,M,1,1,1,Non Returnable,"Bottle green net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Bottle Green</li><li>Made to Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",Net,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2267GRE,SH2267GREL,0,Green Thread-embroidered Net Anarkali with Dupatta & Lehenga (Set of 3),green-thread-embroidered-net-anarkali-with-dupatta-&-lehenga-(setof3)-SH2267GRE,Suit Set,clothing/suit sets,Ethnic Wear,Bottle Green,2267,Shivam,,27000,13500,30,4 to 5 Weeks,1,1,No,L,1,1,1,Non Returnable,"Bottle green net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Bottle Green</li><li>Made to Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",Net,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",SH2267GRE,SH2267GREXL,0,Green Thread-embroidered Net Anarkali with Dupatta & Lehenga (Set of 3),green-thread-embroidered-net-anarkali-with-dupatta-&-lehenga-(setof3)-SH2267GRE,Suit Set,clothing/suit sets,Ethnic Wear,Bottle Green,2267,Shivam,,27000,13500,30,4 to 5 Weeks,1,1,No,XL,1,1,1,Non Returnable,"Bottle green net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Bottle Green</li><li>Made to Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",Net,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Shivam,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,,,
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,configurable,"15,17,36,19,37",SH2267GRE,SH2267GRE,1,Green Thread-embroidered Net Anarkali with Dupatta & Lehenga (Set of 3),green-thread-embroidered-net-anarkali-with-dupatta-&-lehenga-(setof3)-SH2267GRE,Suit Set,clothing/suit sets,Ethnic Wear,Bottle Green,2267,Shivam,,27000,13500,30,4 to 5 Weeks,2,4,No,,1,1,1,Non Returnable,"Bottle green net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Bottle Green</li><li>Made to Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>","B-38, W-32, H-40-42",Net,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,size,"SH2267GRES, SH2267GREM, SH2267GREL, SH2267GREXL",None,Shivam,,EX_FC_VL_DEL_KAP,,field,"Bust/Chest,Hip,Waist,Sleeve Length,Shoulders,Armhole,Neck,Length (Shoulder to Knee),Length (Waist to Ankle)",0,0,,0,"1,2,3,4,5,6,7,8,9",,,,,"SH2267GRES, SH2267GREM, SH2267GREL, SH2267GREXL",item size,"S,M,L,XL",EX000000,,,
