store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days,vendor_id,warehouse_code,gender,manage_stock,use_config_manage_stock,floor_type,vendor_code
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA018,0,Pink Hand-embroidered Clutch with Beads & Sequins,pink-hand-embroidered-clutch-with-beads-&-sequins-ba018,Pink  ,Clutch,accessories/bags,BA018,10,10 days,Bonitoange,,1750,700,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Pink  </li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins, Beads</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Citrine",6,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA019,0,Orange Hand-embroidered Clutch with Beads & Sequins,orange-hand-embroidered-clutch-with-beads-&-sequins-ba019,Orange,Clutch,accessories/bags,BA019,10,10 days,Bonitoange,,1750,700,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Orange</li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins, Beads</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Smoky Quartz",8,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA020,0,Green Floral Hand-embroidered Clutch with Sequins,green-floral-hand-embroidered-clutch-with-sequins-ba020,Green ,Clutch,accessories/bags,BA020,10,10 days,Bonitoange,,1750,700,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Green </li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Rose Quartz",9,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA021,0,Blue Hand-embroidered Clutch with Tassels,blue-hand-embroidered-clutch-with-tassels-ba021,"Blue, Silver ",Clutch,accessories/bags,BA021,10,10 days,Bonitoange,,2625,1050,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Blue, Silver </li><li>Measurements: One Size</li><li>Material(s): Polyester</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Amethyst",15,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA022,0,Pink Hand-embroidered Clutch with Tassels,pink-hand-embroidered-clutch-with-tassels-ba022,"Pink, Silver ",Clutch,accessories/bags,BA022,10,10 days,Bonitoange,,2625,1050,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Pink, Silver </li><li>Measurements: One Size</li><li>Material(s): Polyester</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Mother of Pearl, Smoky Quartz",15,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA023,0,Black Floral Hand-embroidered Beaded Clutch,black-floral-hand-embroidered-beaded-clutch-ba023,Black ,Clutch,accessories/bags,BA023,10,10 days,Bonitoange,,2750,1100,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Black </li><li>Measurements: One Size</li><li>Material(s): Polyester, Beads</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Aquamarine, Black Onyx, Rose Quartz",15,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA025,0,"Black, White Hand-embroidered Beaded Clutch with Scallop","black,-white-hand-embroidered-beaded-clutch-with-scallop-ba025","Black, White",Clutch,accessories/bags,BA025,10,10 days,Bonitoange,,2125,850,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Black, White</li><li>Measurements: One Size</li><li>Material(s): Polyester, Beads</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Aquamarine, Amethyst",9,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA030,0,Yellow Hand-embroidered Clutch with Pearls,yellow-hand-embroidered-clutch-with-pearls-ba030,"Yellow, White ",Clutch,accessories/bags,BA030,10,10 days,Bonitoange,,2500,1000,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Yellow, White </li><li>Measurements: One Size</li><li>Material(s): Polyester, Pearls</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Black Onyx, Crystal, Smoky Quartz",20,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA031,0,Golden Hand-embroidered Clutch with Sequins,golden-hand-embroidered-clutch-with-sequins-ba031,"White, Golden",Clutch,accessories/bags,BA031,10,10 days,Bonitoange,,1875,750,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: White, Golden</li><li>Measurements: One Size</li><li>Material(s): Polyester, Sequins</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Green Topaz, Lapis Lazuli, Rose Quartz, Aquamarine",9,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
"store_us,store_in","app_us,app_in",Accessories,simple,"15,18,49,21,22",BA032,0,Black Hand-embroidered Clutch with Gemstones,black-hand-embroidered-clutch-with-gemstones-ba032,"Black, Golden, Silver ",Clutch,accessories/bags,BA032,10,10 days,Bonitoange,,3125,1250,2,4,0,One Size,0,0,1,Returnable,"This exquisite hand-embroidered clutch is perfect for a brunch or an evening soiree. It comes with a matching long chain.<ul><li>Color: Black, Golden, Silver </li><li>Measurements: One Size</li><li>Material(s): Polyester, Semi-precious Stones</li><li>Care: Clean it gently with luke warm water using a soft white cotton cloth. Keep it stored in the dust cover provided.</li><li>Weight (GRAMS): 500 - 700</li></ul>",,"Brass, Quartz",20,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Bonito Ange,,,Bonito Ange,EX_FC_VL_DEL_KAP,Women,1,1,,IC000000
