store,websites,sku,cost,price,shipping_days,shipping_time_filter,description
"store_in,india_m_sv","app_in,india_m_web",SH2244PINXL,12500,25000,30,4 to 5 Weeks,"Baby pink net jacket with gota handwork. It comes with a net dupatta and satin lycra, net pants.
<ul><li>Color: Baby Pink</li><li>Made to Order Color Option: Grey</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Jacket & Dupatta: Net, Pants: Satin Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2244PIN,12500,25000,30,4 to 5 Weeks,"Baby pink net jacket with gota handwork. It comes with a net dupatta and satin lycra, net pants.
<ul><li>Color: Baby Pink</li><li>Made to Order Color Option: Grey</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Jacket & Dupatta: Net, Pants: Satin Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2267GRES,13500,27000,30,4 to 5 Weeks,"Bottle green net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Bottle Green</li><li>Made to Order Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2267GREM,13500,27000,30,4 to 5 Weeks,"Bottle green net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Bottle Green</li><li>Made to Order Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2267GREL,13500,27000,30,4 to 5 Weeks,"Bottle green net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Bottle Green</li><li>Made to Order Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2267GREXL,13500,27000,30,4 to 5 Weeks,"Bottle green net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Bottle Green</li><li>Made to Order Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2267GRE,13500,27000,30,4 to 5 Weeks,"Bottle green net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Bottle Green</li><li>Made to Order Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2267BEIS,13500,27000,30,4 to 5 Weeks,"Beige Magenta net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Beige Magenta</li><li>Made to Order Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2267BEIM,13500,27000,30,4 to 5 Weeks,"Beige Magenta net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Beige Magenta</li><li>Made to Order Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2267BEIL,13500,27000,30,4 to 5 Weeks,"Beige Magenta net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Beige Magenta</li><li>Made to Order Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2267BEIXL,13500,27000,30,4 to 5 Weeks,"Beige Magenta net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Beige Magenta</li><li>Made to Order Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2267BEI,13500,27000,30,4 to 5 Weeks,"Beige Magenta net lehenga set with an anarkali featuring threadwork and swarovski. <ul><li>Color: Beige Magenta</li><li>Made to Order Color Option: Royal Blue, Baby Pink</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2214GRES,8000,16000,30,4 to 5 Weeks,"Lime green net anarkali with zari work. It comes with a lycra churidar and net dupatta.<ul><li>Color: Lime Green</li><li>Made to Order Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2214GREM,8000,16000,30,4 to 5 Weeks,"Lime green net anarkali with zari work. It comes with a lycra churidar and net dupatta.<ul><li>Color: Lime Green</li><li>Made to Order Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2214GREL,8000,16000,30,4 to 5 Weeks,"Lime green net anarkali with zari work. It comes with a lycra churidar and net dupatta.<ul><li>Color: Lime Green</li><li>Made to Order Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2214GREXL,8000,16000,30,4 to 5 Weeks,"Lime green net anarkali with zari work. It comes with a lycra churidar and net dupatta.<ul><li>Color: Lime Green</li><li>Made to Order Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2214GRE,8000,16000,30,4 to 5 Weeks,"Lime green net anarkali with zari work. It comes with a lycra churidar and net dupatta.<ul><li>Color: Lime Green</li><li>Made to Order Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2214PEAS,8000,16000,30,4 to 5 Weeks,"Peach Pink net anarkali with zari work. It comes with a lycra churidar and net dupatta.<ul><li>Color: Peach Pink</li><li>Made to Order Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2214PEAM,8000,16000,30,4 to 5 Weeks,"Peach Pink net anarkali with zari work. It comes with a lycra churidar and net dupatta.<ul><li>Color: Peach Pink</li><li>Made to Order Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2214PEAL,8000,16000,30,4 to 5 Weeks,"Peach Pink net anarkali with zari work. It comes with a lycra churidar and net dupatta.<ul><li>Color: Peach Pink</li><li>Made to Order Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2214PEAXL,8000,16000,30,4 to 5 Weeks,"Peach Pink net anarkali with zari work. It comes with a lycra churidar and net dupatta.<ul><li>Color: Peach Pink</li><li>Made to Order Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2214PEA,8000,16000,30,4 to 5 Weeks,"Peach Pink net anarkali with zari work. It comes with a lycra churidar and net dupatta.<ul><li>Color: Peach Pink</li><li>Made to Order Color Option: </li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2022BLAS,7500,15000,30,4 to 5 Weeks,"Black halterneck net anarkali adorned with cutdana embroidery at the neck. Cutdana & velvet panel at the border along with a matching lycra churidar & net dupatta.<ul><li>Color: Black</li><li>Made to Order Color Option: Bottle Green, Baby Blue, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2022BLAM,7500,15000,30,4 to 5 Weeks,"Black halterneck net anarkali adorned with cutdana embroidery at the neck. Cutdana & velvet panel at the border along with a matching lycra churidar & net dupatta.<ul><li>Color: Black</li><li>Made to Order Color Option: Bottle Green, Baby Blue, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2022BLAL,7500,15000,30,4 to 5 Weeks,"Black halterneck net anarkali adorned with cutdana embroidery at the neck. Cutdana & velvet panel at the border along with a matching lycra churidar & net dupatta.<ul><li>Color: Black</li><li>Made to Order Color Option: Bottle Green, Baby Blue, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2022BLAXL,7500,15000,30,4 to 5 Weeks,"Black halterneck net anarkali adorned with cutdana embroidery at the neck. Cutdana & velvet panel at the border along with a matching lycra churidar & net dupatta.<ul><li>Color: Black</li><li>Made to Order Color Option: Bottle Green, Baby Blue, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
"store_in,india_m_sv","app_in,india_m_web",SH2022BLA,7500,15000,30,4 to 5 Weeks,"Black halterneck net anarkali adorned with cutdana embroidery at the neck. Cutdana & velvet panel at the border along with a matching lycra churidar & net dupatta.<ul><li>Color: Black</li><li>Made to Order Color Option: Bottle Green, Baby Blue, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Anarkali & Dupatta: Net, Churidar: Lycra</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li></ul>"
