store,websites,attribute_set,type,category_ids,sku,has_options,name,url_key,color,product_type_all,product_type_url,vendor_sku,shipping_days,shipping_time_filter,vendor,msrp_price,price,cost,status,visibility,enable_googlecheckout,size,extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,vendor_shipping_days,vendor_id,warehouse_code,gender,manage_stock,use_config_manage_stock,floor_type
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN200F,0,Floral Tourmaline Gold Tone Baalis with Pearls,floral-tourmaline-gold-tone-baalis-with-pearlspaisley-blue-quartz-and-black-onyx-textured-baalisin200f,Golden,Earring,jewelry/fashion/earrings,IN200F,7,7 days,Regalia,,2400,1000,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handmade in Gujarat, golden baalis with floral carvings, pearls and tourmaline stone<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN125D,0,Red Opal and Green Chalcedony Gold Tone Danglers with Pearls,red-opal-and-green-chalcedony-gold-tone-danglers-with-pearlsfloral-tourmaline-gold-tone-baalis-with-pearlsin125d,Golden,Earring,jewelry/fashion/earrings,IN125D,7,7 days,Regalia,,1459,625,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handmade in Gujarat, contemporary golden danglers encrusted with red opal and green chalcedony stones and pearls<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN281G,0,Flora Blue Topaz Handcrafted Kundan Danglers with Beads,flora-blue-topaz-handcrafted-kundan-danglers-with-beadsred-opal-and-green-chalcedony-gold-tone-danglers-with-pearlsin281g,Blue,Earring,jewelry/fashion/earrings,IN281G,7,7 days,Regalia,,3300,1405,2,4,0,ONESIZE,0,0,1,Non Returnable,Flora inspired handcrafted Kundan danglers with blue topaz gemstones and blue bead drop from Gujarat<ul><li>Color: Blue</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN440M,0,Multicolored Amethyst and Aventurine Handcrafted Earrings with Pearls and Crystals,multicolored-amethyst-and-aventurine-handcrafted-earrings-with-pearls-and-crystalsflora-blue-topaz-handcrafted-kundan-danglers-with-beadsin440m,Golden,Earring,jewelry/fashion/earrings,IN440M,7,7 days,Regalia,,5100,2200,2,4,0,ONESIZE,0,0,1,Non Returnable,"Nature inspired handcrafted ethnic earrings studded with multicolored semi-precious stones like turquoise, aventurine, amethyst and more, golden beaded tassels, pearls and crystals<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN118M,0,Meenakari Earrings with Pearls and Crystals,meenakari-earrings-with-pearls-and-crystalsmulticolored-amethyst-and-aventurine-handcrafted-earrings-with-pearls-and-crystalsin118m,White,Earring,jewelry/fashion/earrings,IN118M,7,7 days,Regalia,,1500,590,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat, traditional earrings adorned with meenakari work, crystals and pearls<ul><li>Color: White</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,6",IN14M400,0,Lapis Lazuli and Rose Quartz Gold Tone Filigree Necklace  ,lapis-lazuli-and-rose-quartz-gold-tone-filigree-necklacemeenakari-earrings-with-pearls-and-crystalsin14m400,Golden,Necklace,jewelry/fashion/necklaces,IN14M400,7,7 days,Regalia,,4899,2100,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted contemporary golden necklace featuring lapis lazuli, rose quartz and peridot. Adorned with intricate filigree work and etched bell motifs.<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,8",IN14M125,0,Flower Tourmaline Kundan Maang Tikka,flower-tourmaline-kundan-maang-tikkalapis-lazuli-and-rose-quartz-gold-tone-filigree-necklacein14m125,Pink,Maang Tikka,jewelry/fashion/head-pieces,IN14M125,7,7 days,Regalia,,1600,656,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat. Inspired by flowers, kundan maang tikka showcasing tourmaline stones.<ul><li>Color: Pink</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M320,0,Tourmaline and Green Labradorite Floral Kundan Earrings with Pearls,tourmaline-and-green-labradorite-floral-kundan-earrings-with-pearlsflower-tourmaline-kundan-maang-tikkain14m320,Green,Earring,jewelry/fashion/earrings,IN14M320,7,7 days,Regalia,,4000,1680,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat, floral kundan earrings embellished with pearls, tourmaline and green Labradorite stones.<ul><li>Color: Green</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M291,0,Tourmaline and Green Aventurine Kundan Earrings with Pearls,tourmaline-and-green-aventurine-kundan-earrings-with-pearlstourmaline-and-green-labradorite-floral-kundan-earrings-with-pearlsin14m291,Green,Earring,jewelry/fashion/earrings,IN14M291,7,7 days,Regalia,,3599,1528,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat and inspired by nature, kundan earrings beautified with pearls, tourmaline and green aventurine stones.<ul><li>Color: Green</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M100,0,Spiral Carnelian Handcrafted Gold Tone Earrings with Pearls,spiral-carnelian-handcrafted-gold-tone-earrings-with-pearlstourmaline-and-green-aventurine-kundan-earrings-with-pearlsin14m100,Golden,Earring,jewelry/fashion/earrings,IN14M100,7,7 days,Regalia,,1499,525,2,4,0,ONESIZE,0,0,1,Non Returnable,"Inspired by tree branches, handcrafted golden spiral earrings featuring carnelian stones and pearl drop chain<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M250,0,Mughal Tanzanite Gold Tone Earrings ,mughal-tanzanite-gold-tone-earringsspiral-carnelian-handcrafted-gold-tone-earrings-with-pearlsin14m250,Golden,Earring,jewelry/fashion/earrings,IN14M250,7,7 days,Regalia,,3000,1313,2,4,0,ONESIZE,0,0,1,Non Returnable,"Inspired by Mughal architecture, traditional layered golden earrings embedded with pearls and tanzanite stones<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M150,0,Leaf Black Onyx and Rose Quartz Handcrafted Embossed Earrings,leaf-black-onyx-and-rose-quartz-handcrafted-embossed-earringsmughal-tanzanite-gold-tone-earringsin14m150,Golden,Earring,jewelry/fashion/earrings,IN14M150,7,7 days,Regalia,,1999,788,2,4,0,ONESIZE,0,0,1,Non Returnable,"Inspired by leaves, handcrafted embossed earrings featuring black onyx and rose quartz stones and pearl drop<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,8",IN14M125_1,0,Crescent Handcrafted Kundan Maang Tikka,crescent-handcrafted-kundan-maang-tikkaleaf-black-onyx-and-rose-quartz-handcrafted-embossed-earringsin14m125_1,White,Maang Tikka,jewelry/fashion/head-pieces,IN14M125_1,7,7 days,Regalia,,1699,656,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat, cresent shaped kundan maang tikka showcasing pearls and crystals<ul><li>Color: White</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M185,0,Turquoise Handcrafted Gold Tone Earrings with Chains,turquoise-handcrafted-gold-tone-earrings-with-chainscrescent-handcrafted-kundan-maang-tikkain14m185,Golden,Earring,jewelry/fashion/earrings,IN14M185,7,7 days,Regalia,,2300,971,2,4,0,ONESIZE,0,0,1,Non Returnable,"Inspired by nature, handcrafted etched golden earrings adorned with turquoise stones and chains<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M300,0,Peacock Handcrafted Kundan Earcuffs,peacock-handcrafted-kundan-earcuffsturquoise-handcrafted-gold-tone-earrings-with-chainsin14m300,Golden,Earring,jewelry/fashion/earrings,IN14M300,7,7 days,Regalia,,3700,1575,2,4,0,ONESIZE,0,0,1,Non Returnable,"Inspired by peacock, handcrafted kundan earcuff earrings with jhumka drop from Gujarat<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M418,0,Oval Tanzanite Kundan Earrings with Pearls,oval-tanzanite-kundan-earrings-with-pearlspeacock-handcrafted-kundan-earcuffsin14m418,Blue,Earring,jewelry/fashion/earrings,IN14M418,7,7 days,Regalia,,5100,2195,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat, oval shaped kundan earrings showcasing pearls and tanzanite stones<ul><li>Color: Blue</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M203,0,Crescent Tourmaline Kundan Earrings,crescent-tourmaline-kundan-earringsoval-tanzanite-kundan-earrings-with-pearlsin14m203,Pink,Earring,jewelry/fashion/earrings,IN14M203,7,7 days,Regalia,,2500,1066,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat, crescent shaped kundan earrings embellished with tourmaline stones and pearl drop chains<ul><li>Color: Pink</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M800,0,Dome Engraved Earrings with Pearl Drop Chains,dome-engraved-earrings-with-pearl-drop-chainscrescent-tourmaline-kundan-earringsin14m800,Golden,Earring,jewelry/fashion/earrings,IN14M800,7,7 days,Regalia,,1200,420,2,4,0,ONESIZE,0,0,1,Non Returnable,Contemporary handcrafted dome shaped engraved earrings adorned with pearl drop chains<ul><li>Color: Golden</li></ul>,,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,5",IN14M440,0,Floral Kundan Earrings with Pearls and Crystals,floral-kundan-earrings-with-pearls-and-crystalsdome-engraved-earrings-with-pearl-drop-chainsin14m440,Golden,Earring,jewelry/fashion/earrings,IN14M440,7,7 days,Regalia,,5400,2310,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted in Gujarat, floral kundan earrings embellished with pearl drop and crystals<ul><li>Color: Golden</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
"store_us,store_in","app_us,app_in",Jewelry,simple,"15,16,3,4,6",IN14M350,0, Tanzanite and Amethyst Necklace with Filigree Work,tanzanite-and-amethyst-necklace-with-filigree-workfloral-kundan-earrings-with-pearls-and-crystalsin14m350,Pink,Necklace,jewelry/fashion/necklaces,IN14M350,7,7 days,Regalia,,4300,1838,2,4,0,ONESIZE,0,0,1,Non Returnable,"Handcrafted contemporary necklace featuring intricate filigree work, tanzanite and amethyst stones with chains<ul><li>Color: Pink</li></ul>",,Brass,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,,,,0,Indiancultr,,,Rega,EX_FC_VL_DEL_KAP,Women,1,1,
