store,websites,sku,name
"store_us,store_in,admin","app_us,app_in",INS224723,Heart Dual Tone Silver Etched Earrings with Rawa Work
"store_us,store_in,admin","app_us,app_in",INS271944,Dual Tone Silver Earrings with Peacock Motif
"store_us,store_in,admin","app_us,app_in",INS261764,Dual Tone Silver Earrings with Rawa Work
"store_us,store_in,admin","app_us,app_in",INS171300,Gold-plated Silver Beaded Chain
"store_us,store_in,admin","app_us,app_in",INS64760,Gold-plated Silver Engraved Nakashi Earrings with Coins
"store_us,store_in,admin","app_us,app_in",INS121890,Mughal Jadau Gold-plated Silver Pendant with Chain (Set of 2)
"store_us,store_in,admin","app_us,app_in",INS132240,Peacock Feather Jadau Gold-plated Silver Pendant with Chain (Set of 2)
"store_us,store_in,admin","app_us,app_in",INS83318,Bloom Jadau Gold-plated Silver Pendant with Chain (Set of 2)
"store_us,store_in,admin","app_us,app_in",INS152058,Leaf Jadau Gold-plated Silver Pendant with Chain (Set of 2)
"store_us,store_in,admin","app_us,app_in",INS112940,Floral Jadau Gold-plated Silver Pendant with Chain (Set of 2)
"store_us,store_in,admin","app_us,app_in",INS42730,Gold-plated Silver Engraved Temple Earrings with Coins
"store_us,store_in,admin","app_us,app_in",INS102940,Floral Jadau Gold-plated Silver Pendant with Chain (Set of 2)
"store_us,store_in,admin","app_us,app_in",INS33080,Gold-plated Silver Engraved Coin Earrings with Peacock Motif
"store_us,store_in,admin","app_us,app_in",INS54830,Gold-plated Silver Engraved Coin Earrings
"store_us,store_in,admin","app_us,app_in",INS12520,Floral Gold-plated Silver Temple Earrings with Nakashi Work
"store_us,store_in,admin","app_us,app_in",INS165010,Floral Jadau Gold-plated Silver Pendant with Chain (Set of 2)
"store_us,store_in,admin","app_us,app_in",INS92940,Jadau Gold-plated Silver Pendant with Chain (Set of 2)
"store_us,store_in,admin","app_us,app_in",INS142450,Jadau Gold-plated Silver Pendant with Pearls and Chain (Set of 2)
"store_us,store_in,admin","app_us,app_in",INS23780,Floral Gold-plated Silver Engraved Nakashi Earrings
"store_us,store_in,admin","app_us,app_in",INS74480,Gold-plated Silver Engraved Temple Earrings
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJB325,Brown Leather Journal
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJV375,"Red, Golden Benarasi Brocade Journal"
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJS375,"Black, Golden Benarasi Brocade Journal"
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJJ450,"Black, Dull Golden Benarasi Brocade Journal"
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJD450,"Red, Dull Golden Benarasi Brocade Journal"
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJB450,"Purple, Golden Benarasi Brocade Journal"
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJB375,"White, Golden Benarasi Brocade Journal"
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJC300,Brown Leather Journal
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJS325,Brown Leather Journal
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJF300,Green Leather Journal with Embossed Peacock Motif
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJS300,Light Brown Wrinkle Free Suede Leather Journal
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJP300,Brown Leather Journal
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJL300,Tree of Life Brown Leather Journal
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJE300,Maroon Leather Journal with Embossed Peacock Motif
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJU300,Tree of Life Brown Leather Journal
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJM300,Tree of Life Green Leather Journal
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJW300,"Brown Leather, Metal Journal with Hand-tooled Celtic Design"
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJA300,Red-Brown Leather Journal with Celtic Design
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJM600,"Brown Leather, Metal Journal with Hand-tooled Celtic Design"
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJR400,Brown Leather Roll Up Journal
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJH300,Dark Brown Leather Journal with Hand-tooled Celtic Design
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJS200,Tan Suede Leather Journal
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJT325,"Tree of Life Brown, Green Leather Journal"
"store_us,store_in,admin","app_us,app_in",M-IC5FEB16NJW325,Tan Wrinkle Free Crunch Leather Journal
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN225W,Crescent Tourmaline Brass Kundan Earrings
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN600T,Gold Tone Brass Kundan Maang Tikka with Pearl Drop
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN145C,Gold Tone Brass Earcuffs with Pearl Drop
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN227K,Crescent Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN125F,Textured Floral Gold Tone Brass Earrings with Black Onyx
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN200C,"Blue Quartz, Black Onyx Gold Tone Brass Earrings"
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN150B,Egyptian Black Onyx Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN225S,Yellow Garnet Textured Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN236P,Blue Tourmaline Gold Tone Brass Hoop Earrings with Textured Leaf Motif
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN100R,Carnelian Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN203P,Crescent Tourmaline and Pearl Brass Kundan Earrings
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN360B,Tanzanite Gold Tone Brass Kundan Earrings
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN203B,Crescent Tanzanite Gold Tone Brass Kundan Earrings with Pearls
"store_us,store_in,admin","app_us,app_in",C-IC4NOV15IN405G,Crescent Turquoise Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15500G,Smoky Quartz Gold Tone Brass Cuff
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15500B,Black Onyx Gold Tone Brass Cuff
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15100G,Crystal Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15500W,Floral Etched Jade Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15800G,"Smoky Quartz, Aventurine Gold Tone Brass Hook Earrings"
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15213G,Leaf Amethyst Gold Tone Brass Earrings
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15200G,Crystal Gold Tone Brass Foil Earrings
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15125B,"Lapis Lazuli, Turquoise Gold Tone Brass Earrings"
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15200W,Gold Tone Brass Foil Earrings
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15113G,Aventurine Gold Tone Brass Earrings with Filigree Work
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15250B,"Aventurine, Turquoise Gold Tone Brass Earrings"
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15338W,Crescent Rose Quartz Gold Tone Brass Earrings with Pearls
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15250W,"Tourmaline, Aventurine Gold Tone Brass Jhumkis"
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15250P,Textured Floral Gold Tone Brass Earrings with Tourmaline
"store_us,store_in,admin","app_us,app_in",C-ICL24SEP15211G,"Aventurine, Smoky Quartz Gold Tone Brass Jhumkis"
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N113W,Gold Tone Brass Kundan Maang Tikka with Pearls
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15500SM,Floral Gold Tone Brass Kundan Maang Tikka with Pearls
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N500S,Floral Tanzanite Gold Tone Brass Kundan Maang Tikka
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N500M,Floral Tourmaline Gold Tone Brass Kundan Maang Tikka with Pearls
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N500R,Floral Red Garnet Gold Tone Brass Kundan Maang Tikka with Pearls
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N600T,Pearl Gold Tone Brass Kundan Maang Tikka
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N800R,Tourmaline Gold Tone Brass Kundan Earrings with Pearls
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N400M,Floral Brass Kundan Earrings with Pearl Drop
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N355G,Crescent Brass Kundan Earrings with Pearls
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N350G,Tanzanite Brass Kundan Earrings with Pearls
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N350S,Oval Turquoise Brass Kundan Earrings with Pearls
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N360S,Turquoise Brass Kundan Earrings
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N315M,Tourmaline Brass Kundan Passa with Pearls
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N223M,"Aventurine, Tourmaline Brass Kundan Maang Tikka"
"store_us,store_in,admin","app_us,app_in",C-ICL17DEC15N227R,Oval Tourmaline Brass Kundan Earrings with Pearls
