store,websites,sku,cost,price,shipping_days,shipping_time_filter
"store_in,india_m_sv","app_in,india_m_web",SH2176BLAXL,9500,19000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2176BLA,9500,19000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2176BEIS,9500,19000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2176BEIM,9500,19000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2176BEIL,9500,19000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2176BEIXL,9500,19000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2176BEI,9500,19000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2243PINS,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2243PINM,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2243PINL,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2243PINXL,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2243PIN,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2244YELS,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2244YELM,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2244YELL,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2244YELXL,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2244YEL,12500,25000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2264BEIS,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2264BEIM,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2264BEIL,13500,27000,30,4 to 5 Weeks
"store_in,india_m_sv","app_in,india_m_web",SH2264BEIXL,13500,27000,30,4 to 5 Weeks
