store,websites,attribute_set,type,category_ids,Parent,sku,itemsize,has_options,name,url_key,product_type_all,product_type_url,fashion_style,color,vendor_sku,vendor,msrp_price,price,cost,shipping_days,shipping_time_filter,status,visibility,enable_googlecheckout,size,",",extended_delivery,pre_order_item,is_product_new,is_returnable,description,tab_sizing,tab_details,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,weight,image,meta_keyword,meta_description,meta_title,merchandiser_name,configurable_attributes,simples_skus,tax_class_id,designer_brand_name,designer_cat_url,warehouse_code,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort,_super_products_sku,_super_attribute_code,_super_attribute_option,vendor_code,fit_guide
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",RAW082,RAW082XS,XS,0,"Green, Maroon Georgette Anarkali with Shrug (Set of 4)","green,-maroon-georgette-anarkali-with-shrug-(set-of-4)-raw082",Suit Sets,clothing/suit sets,Ethnic Wear,"Green, Maroon",RAW082,Regalia,,15000,9750,40,5 to 6 Weeks,1,1,No,XS,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - max-58"" min-50"" , Churidar Length - 51"" , Dupatta Length - 100"" , Dupatta Width - 22.5"" (standard for all sizes)",Georgette,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",RAW082,RAW082S,S,0,"Green, Maroon Georgette Anarkali with Shrug (Set of 4)","green,-maroon-georgette-anarkali-with-shrug-(set-of-4)-raw082",Suit Sets,clothing/suit sets,Ethnic Wear,"Green, Maroon",RAW082,Regalia,,15000,9750,40,5 to 6 Weeks,1,1,No,S,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - max-58"" min-50"" , Churidar Length - 51"" , Dupatta Length - 100"" , Dupatta Width - 22.5"" (standard for all sizes)",Georgette,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",RAW082,RAW082M,M,0,"Green, Maroon Georgette Anarkali with Shrug (Set of 4)","green,-maroon-georgette-anarkali-with-shrug-(set-of-4)-raw082",Suit Sets,clothing/suit sets,Ethnic Wear,"Green, Maroon",RAW082,Regalia,,15000,9750,40,5 to 6 Weeks,1,1,No,M,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - max-58"" min-50"" , Churidar Length - 51"" , Dupatta Length - 100"" , Dupatta Width - 22.5"" (standard for all sizes)",Georgette,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",RAW082,RAW082L,L,0,"Green, Maroon Georgette Anarkali with Shrug (Set of 4)","green,-maroon-georgette-anarkali-with-shrug-(set-of-4)-raw082",Suit Sets,clothing/suit sets,Ethnic Wear,"Green, Maroon",RAW082,Regalia,,15000,9750,40,5 to 6 Weeks,1,1,No,L,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - max-58"" min-50"" , Churidar Length - 51"" , Dupatta Length - 100"" , Dupatta Width - 22.5"" (standard for all sizes)",Georgette,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",RAW082,RAW082XL,XL,0,"Green, Maroon Georgette Anarkali with Shrug (Set of 4)","green,-maroon-georgette-anarkali-with-shrug-(set-of-4)-raw082",Suit Sets,clothing/suit sets,Ethnic Wear,"Green, Maroon",RAW082,Regalia,,15000,9750,40,5 to 6 Weeks,1,1,No,XL,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - max-58"" min-50"" , Churidar Length - 51"" , Dupatta Length - 100"" , Dupatta Width - 22.5"" (standard for all sizes)",Georgette,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,configurable,"15,17,36,19,37",RAW082,RAW082,,1,"Green, Maroon Georgette Anarkali with Shrug (Set of 4)","green,-maroon-georgette-anarkali-with-shrug-(set-of-4)-raw082",Suit Sets,clothing/suit sets,Ethnic Wear,"Green, Maroon",RAW082,Regalia,,15000,9750,40,5 to 6 Weeks,2,4,No,,"XS,S,M,L,XL",1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - max-58"" min-50"" , Churidar Length - 51"" , Dupatta Length - 100"" , Dupatta Width - 22.5"" (standard for all sizes)",Georgette,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,size,"RAW082XS, RAW082S, RAW082M, RAW082L, RAW082XL",None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,field,"Bust/Chest,Hip,Waist,Sleeve Length,Shoulders,Armhole,Neck,Length (Shoulder to Knee),Length (Waist to Ankle)",0,0,,0,"1,2,3,4,5,6,7,8,9",,,,,"RAW082XS, RAW082S, RAW082M, RAW082L, RAW082XL",size,"XS,S,M,L,XL",EX000000,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",RAW056,RAW056XS,XS,0,Blue Net Anarkali with Crystals (Set of 2),blue-net-anarkali-with-crystals-(setof2)-raw056,Suit Sets,clothing/suit sets,Ethnic Wear,Blue,RAW056,Regalia,,25100,16315,40,5 to 6 Weeks,1,1,No,XS,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - 58"" , Dupatta Length - 102"" , Dupatta Width - 50"" (standard for all sizes)",Net,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",RAW056,RAW056S,S,0,Blue Net Anarkali with Crystals (Set of 2),blue-net-anarkali-with-crystals-(setof2)-raw056,Suit Sets,clothing/suit sets,Ethnic Wear,Blue,RAW056,Regalia,,25100,16315,40,5 to 6 Weeks,1,1,No,S,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - 58"" , Dupatta Length - 102"" , Dupatta Width - 50"" (standard for all sizes)",Net,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",RAW056,RAW056M,M,0,Blue Net Anarkali with Crystals (Set of 2),blue-net-anarkali-with-crystals-(setof2)-raw056,Suit Sets,clothing/suit sets,Ethnic Wear,Blue,RAW056,Regalia,,25100,16315,40,5 to 6 Weeks,1,1,No,M,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - 58"" , Dupatta Length - 102"" , Dupatta Width - 50"" (standard for all sizes)",Net,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",RAW056,RAW056L,L,0,Blue Net Anarkali with Crystals (Set of 2),blue-net-anarkali-with-crystals-(setof2)-raw056,Suit Sets,clothing/suit sets,Ethnic Wear,Blue,RAW056,Regalia,,25100,16315,40,5 to 6 Weeks,1,1,No,L,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - 58"" , Dupatta Length - 102"" , Dupatta Width - 50"" (standard for all sizes)",Net,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,simple,"15,17,36,19,37",RAW056,RAW056XL,XL,0,Blue Net Anarkali with Crystals (Set of 2),blue-net-anarkali-with-crystals-(setof2)-raw056,Suit Sets,clothing/suit sets,Ethnic Wear,Blue,RAW056,Regalia,,25100,16315,40,5 to 6 Weeks,1,1,No,XL,,1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - 58"" , Dupatta Length - 102"" , Dupatta Width - 50"" (standard for all sizes)",Net,5,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,,,None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,,,,,,,,,,,,,,,,size chart 1
"store_us,store_in,store_stage_en,global_m_sv,india_m_sv","app_us,app_in,store_stage,global_m_web,india_m_web",Women,configurable,"15,17,36,19,37",RAW056,RAW056,,1,Blue Net Anarkali with Crystals (Set of 2),blue-net-anarkali-with-crystals-(setof2)-raw056,Suit Sets,clothing/suit sets,Ethnic Wear,Blue,RAW056,Regalia,,25100,16315,40,5 to 6 Weeks,2,4,No,,"XS,S,M,L,XL",1,1,1,Non Returnable,"Green and black net shirt with antique sequin handwork done on the lower half and pleated bodice. It comes with a lycra net churidar and net dupatta.<ul><li>Color: Green, Black</li><li>Made to Color Option: Maroon, Black, Magenta, Red</li><li>Measurements: B-38, W-32, H-40-42</li><li>Material(s): Shirt & Dupatta: Net, Churidar: Lycra, Net</li><li>Care: Dry Clean Only</li><li>Weight (GRAMS): NA</li><","Anarkali Length - 58"" , Dupatta Length - 102"" , Dupatta Width - 50"" (standard for all sizes)",Net,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,,,,,Kamal,size,"RAW056XS, RAW056S, RAW056M, RAW056L, RAW056XL",None,Regalia by Deepika,,EX_FC_VL_DEL_KAP,,field,"Bust/Chest,Hip,Waist,Sleeve Length,Shoulders,Armhole,Neck,Length (Shoulder to Knee),Length (Waist to Ankle)",0,0,,0,"1,2,3,4,5,6,7,8,9",,,,,"RAW056XS, RAW056S, RAW056M, RAW056L, RAW056XL",size,"XS,S,M,L,XL",EX000000,size chart 1
