store,websites,sku,cost,price,description,name,url_key
store_in,app_in,SUT121004,150,1499,"Elegant wall panels in wood and cloth adorned with floral design for stylish homes.<ul><li>Color: Black, White</li><li>Measurements (inches): H-10’’, W-10’’</li><li>Material(s): Wood, Cloth</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","Black, White Floral Wood and Cloth Wall Paintings (Set of 4)","black,-white-floral-wood-and-cloth-wall-paintings-(set4)-SUT121004"
store_in,app_in,SUT121006,150,1499,"Elegant wall panels in wood and cloth adorned with floral design for stylish homes.<ul><li>Color: Black, Red</li><li>Measurements (inches): H-10’’, W-10’’</li><li>Material(s): Wood, Cloth</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","Black, Red Floral Wood and Cloth Wall Paintings (Set of 4)","black,-red-floral-wood-and-cloth-wall-paintings-(set4)-SUT121006"
store_in,app_in,SUT121011,150,1499,"Elegant wall panels in wood and cloth adorned with floral design for stylish homes.<ul><li>Color: Red, White</li><li>Measurements (inches): H-10’’, W-10’’</li><li>Material(s): Wood, Cloth</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","Red, White Floral Wood and Cloth Wall Paintings (Set of 4)","red,-white-floral-wood-and-cloth-wall-paintings-(set4)-SUT121011"
store_in,app_in,SUT511011,128,1199,"Display your photos or art in style! These lovely wood photo frames feature a beautiful pattern.<ul><li>Color: Black</li><li>Measurements (inches): H-2.5'', W-2''</li><li>Material(s): Wood</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Houten Black Wood Photo Frames (Set of 4),houten-black-wood-photo-frames-(set4)-SUT511011
store_in,app_in,SUT511143,216,1499,"Display your photos or art in style! These lovely wood photo frames feature a beautiful pattern.<ul><li>Color: White, Pink</li><li>Measurements (inches): H-8.8’’, L-6.8’, ’W-0.5’’</li><li>Material(s): Wood</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","White, Pink Wood Photo Frames (Set of 2)","white,-pink-wood-photo-frames-(set2)-SUT511143"
store_in,app_in,SUT511133,640,1999,"Light up the corners of your home with these copper, metal hanging candle holders.<ul><li>Color: Copper</li><li>Measurements (inches): H-6.3’’, Dia-2.4’’</li><li>Material(s): Metal, Copper</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","Copper, Metal Hanging Candle Holders (Set of 8)","copper,-metal-hanging-candle-holders-(set8)-SUT511133"
store_in,app_in,SUT1031092,700,1999,"Light up the corners of your home with these copper, metal pillar candle holders.<ul><li>Color: Copper</li><li>Measurements (inches): H-6’’, Dia-3’’</li><li>Material(s): Metal, Copper</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","Copper, Metal Pillar Candle Holders (Set of 8)","copper,-metal-pillar-candle-holders-(set8)-SUT1031092"
store_in,app_in,SUT1031091,650,1999,"Light up the corners of your home with these copper, metal pear candle holders.<ul><li>Color: Copper</li><li>Measurements (inches): H-3.8’', Dia-3.2’’</li><li>Material(s): Metal, Copper</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","Copper, Metal Pear Candle Holders (Set of 8)","copper,-metal-pear-candle-holders-(set8)-SUT1031091"
store_in,app_in,SUT511069-511068-511064,405,1999,"Horror themed beaded table mats for your Halloween party.<ul><li>Color: Black, White</li><li>Measurements (inches): Dia-15”</li><li>Material(s): Beads</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","Black, White Beaded Table Mats (Set of 9)","black,-white-beaded-table-mats-(set9)-SUT511069-511068-511064"
store_in,app_in,SUT511067,120,1999,Blood red beaded coasters for your Halloween party.<ul><li>Color: Red</li><li>Measurements (inches): 3.5x3.5</li><li>Material(s): Beads</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>,Red Beaded Coasters (Set of 10),red-beaded-coasters-(set10)-SUT511067
store_in,app_in,SUT511003,102,1999,"These classic coasters are made of durable leather to endure daily use.<ul><li>Color: Brown</li><li>Measurements (inches): L-3”, W-3”</li><li>Material(s): Leather</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Brown Leather Coasters (Set of 12),brown-leather-coasters-(set12)-SUT511003
store_in,app_in,SUT511117,424,1899,"These two tier steel cake stands with silver finish and wavy design are perfect for a party.<ul><li>Color: Silver</li><li>Measurements (inches): H-11.5’’, Dia-6’’ 8’’</li><li>Material(s): Steel, Silver Finish</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Two Tier Steel Cake Stands (Set of 2),two-tier-steel-cake-stands-(set2)-SUT511117
store_in,app_in,SUT1041039,728,1999,"These simple metal tea light holders will suit your home decor and are perfect for special occasions. These versatile pieces can be placed on tables, shelves and countertops.<ul><li>Color: Brown</li><li>Measurements (inches): H- 6”, W- 8”</li><li>Material(s): Metal</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Brown Metal Tea Light Holders (Set of 6),brown-metal-tea-light-holders-(set6)-SUT1041039
store_in,app_in,SUT511136,808,2199,These classic brown plates made of wood will add elegance to your dining table.<ul><li>Color: Brown</li><li>Measurements (inches): Dia-13''</li><li>Material(s): Wood</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>,Brown Wood Plates (Set of 4),brown-wood-plates-(set4)-SUT511136
store_in,app_in,SUT511137,808,2199,These classic brown plates made of wood will add elegance to your dining table.<ul><li>Color: Brown</li><li>Measurements (inches): Dia-13''</li><li>Material(s): Wood</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>,Brown Wood Plates (Set of 4),brown-wood-plates-(set4)-SUT511137
store_in,app_in,SUT511113,496,1999,"These wood bowls with contemporary wave design are hand-carved by a skilled artisan. These handcrafted products may have slight irregularities which add to its unique charm.<ul><li>Color: Brown</li><li>Measurements (inches): H-4’’, Dia-9’’</li><li>Material(s): Wood</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Brown Hand-carved Wood Bowls (Set of 4),brown-hand-carved-wood-bowls-(set4)-SUT511113
store_in,app_in,SUT511112,496,1999,"These wood bowls with contemporary wave design are hand-carved by a skilled artisan. These handcrafted products may have slight irregularities which add to its unique charm.<ul><li>Color: Brown</li><li>Measurements (inches): H-3’’, Dia-7’’</li><li>Material(s): Wood</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Brown Hand-carved Wood Bowls (Set of 4),brown-hand-carved-wood-bowls-(set4)-SUT511112
store_in,app_in,SUT511118,190,1499,"These classic napkin rings pair beautifully with our collection of wood bowls and plates.<ul><li>Color: Brown, Black</li><li>Measurements (inches): L-2.25’', H-0.8’’</li><li>Material(s): Wood</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>","Brown, Black Wood Napkin Rings (Set of 8)","brown,-black-wood-napkin-rings-(set8)-SUT511118"
store_in,app_in,SUT511104,552,1999,"Must haves for your kitchen, these classic wood chopping boards.<ul><li>Color: Brown</li><li>Measurements (inches): H-9’’, W- 0.6’’, L-4.25’’</li><li>Material(s): Wood</li><li>Care:NA</li><li>Weight (GRAMS): NA</li></ul>",Brown Wood Chopping Boards (Set of 2),brown-wood-chopping-boards-(set2)-SUT511104
